ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
4226.0,MARORAOI,T3LN2,440968e3,8103080.0,Single Purse Seine,68.1,1475.0,2684.52,25.0
4242.0,ORIENTAL KIM,6NHC,440822e3,7827495.0,Single Purse Seine,75.59,745.0,2684.52,22.0
4283.0,SEA ENCOUNTER,WTF4069,338539e3,7823360.0,Single Purse Seine,78.94,1340.0,2684.52,20.0
4291.0,CAROL LINDA,WTF4062,338551e3,7827445.0,Single Purse Seine,83.52,1975.0,2684.52,20.0
4333.0,DEOLINDA,6NHD,440444e3,7827469.0,Single Purse Seine,68.28,606.0,2684.52,22.0
4341.0,WESTERN PACIFIC,WDD5296,367666e3,7508893.0,Single Purse Seine,79.28,2024.0,2684.52,21.0
4390.0,MAMAUTARI,T3LW2,529695e3,8003278.0,Single Purse Seine,68.1,1201.65,2647.7954999999997,25.0
4408.0,PACIFIC PRINCESS,WDC3424,366878e3,7806271.0,Single Purse Seine,78.64,2110.0,2684.52,21.0
4457.0,CAPE MAY,WDE2195,368489e3,8103028.0,Single Purse Seine,69.92,1167.0,2684.52,25.0
4465.0,ELSPETH,6NHK,440479e3,7827483.0,Single Purse Seine,75.59,745.0,2684.52,22.0
4473.0,ALPINE ROSE,P2V4189,NA,7523829.0,Single Purse Seine,66.52,989.4,2684.52,23.0
4499.0,DANIELA,WDD5649,338459e3,7107716.0,Single Purse Seine,64.62,1231.0,2684.52,20.0
4507.0,CAPT MJ SOUZA,ZMAS,NA,7823396.0,Single Purse Seine,68.13,1468.0,2648.0,19.0
4523.0,MOAMAEU,T3BL2,529469e3,7915929.0,Single Purse Seine,79.91,1803.0,2684.52,25.0
4531.0,JEANNINE,T3SF,NA,7415242.0,Single Purse Seine,61.2,1160.0,2684.52,21.0
4549.0,RAFFAELLO,WDD9140,367168e3,7212377.0,Single Purse Seine,58.22,1097.0,2684.52,23.0
4705.0,SAJO OLYMPIA,6LCU,440671e3,8102921.0,Single Purse Seine,76.06,701.0,2647.7954999999997,25.0
4788.0,KAO NO.1,T3AG,529004e3,8029026.0,Single Purse Seine,56.75,1015.0,1618.09725,24.26923076923077
4986.0,K UNICORN,3DYG,NA,NA,Longline,26.43,188.0,298.28000000000003,14.0
6932.0,KOORALE,WDC4205,303345e3,7233280.0,Single Purse Seine,61.87,1072.0,2684.52,18.0
7187.0,KOYO MARU NO.88,7JJR,431435e3,8122529.0,Single Purse Seine,61.9,1016.0,1838.0,22.0
7294.0,CHENILLE,DUG9082,548204300.0,8204585.0,Single Purse Seine,61.55,349.02,1864.28,33.0
7773.0,GOLDEN SAPPHIRE,DUA6356,NA,7395686.0,Single Purse Seine,NA,NA,NA,NA
7849.0,JOHN REYNALD,DUQA7,NA,8118322.0,Single Purse Seine,55.16481481481482,1020.88,2087.96,27.0
7906.0,HANNAH 88,DUM6144,548198100.0,8103858.0,Single Purse Seine,61.51,1047.71,1938.8200000000002,35.0
7930.0,TOBIAS REYNALD,DUA2635,NA,8210508.0,Single Purse Seine,50.5,887.0,1640.54,26.0
7948.0,CAPE FINISTERRE,WDA4699,366304e3,7912094.0,Single Purse Seine,72.63,1809.0,3206.51,25.0
8193.0,KAZU MARU NO.18,JM5083,NA,NA,Longline,29.75,76.57,507.0,10.0
8847.0,SEIKO MARU,JM4781,NA,NA,Longline,29.75,75.82,478.0,10.0
9308.0,JEANETTE,WCX7689,33854e4,7505865.0,Single Purse Seine,76.81,1498.0,2087.96,20.0
9514.0,CAPE HORN,WDF9777,368083e3,8718079.0,Single Purse Seine,69.92,1518.0,2684.52,25.0
11155.0,FUKUJU MARU NO.21,NA,NA,NA,Longline,14.95,19.85,140.55757177419355,8.0
11619.0,RED ROBIN 888,P2V5125,553111327.0,7225087.0,Single Purse Seine,56.85121212121212,897.26,2684.52,23.0
12567.0,TOMO MARU NO.3,NA,NA,NA,Longline,16.47,19.74,88.25985,8.0
12690.0,KAIO MARU NO.3,NA,NA,NA,Longline,14.23,17.0,88.25985,7.0
12872.0,AYA MARU,NA,NA,NA,Longline,19.0,19.81,139.7447625,8.0
12914.0,RYOSHO MARU NO.7,NA,NA,NA,Longline,16.49,18.0,139.7447625,8.0
13086.0,YUSEI MARU NO.5,NA,NA,NA,Longline,14.9,19.97,139.7447625,8.0
13193.0,TOKIWA MARU NO.3,JJFE,431511e3,8324153.0,Single Purse Seine,61.43,1032.0,1912.0,26.0
14316.0,OTOSHIRO MARU NO.1,7LDZ,431200880.0,8415926.0,Pole and Line,62.25,499.0,1470.9975,29.0
14662.0,SOLOMON VENTURE,H4SA,NA,8322870.0,Pole and Line,65.7,499.0,1492.0,45.0
15545.0,SEISYU MARU NO.8,JGJK,43155900.0,8415249.0,Pole and Line,64.67,499.0,1470.9975,35.0
16170.0,YUH FA NO.201,YJTA2,576881e3,8520032.0,Pole and Line,46.3,531.62,735.49875,24.0
16469.0,NIUPELALIP NO.8,P2V5491,553111643.0,8520185.0,Single Purse Seine,61.75,1034.0,1912.0,25.0
16949.0,COSMOS KIM,HLLF,440575e3,8103092.0,Single Purse Seine,75.1,733.0,2684.52,25.0
16956.0,UNIVERSE KIM,HLLG,440462e3,8102919.0,Single Purse Seine,67.51,535.0,2684.52,25.0
17079.0,JIN LIAO YU 77,BAWC,431932e3,8608690.0,Single Purse Seine,64.09,1091.0,2206.0,29.285714285714285
17202.0,PURPLE BEAUTY 888,DUE6131,416892e3,8648016.0,Single Purse Seine,56.83,1206.0,2237.1399999999903,23.0
17491.0,GRANADA,HLBT,440552e3,8102907.0,Single Purse Seine,67.5,536.0,2684.52,22.0
17715.0,MOAMARI,T3JG,NA,8120533.0,Single Purse Seine,76.06,1633.0,2684.52,25.0
17731.0,JIH YU 712,BZHW,416247600.0,8648028.0,Single Purse Seine,67.37727272727273,995.01,2223.1892045454547,NA
17889.0,F/V SOPHIA MARTINA,4DFC6,416508e3,8748696.0,Single Purse Seine,64.7,995.0,2162.53,30.0
18150.0,NO.9 KYUNG YANG,HLLR,440647e3,8610629.0,Longline,47.21,383.0,894.84,25.0
18168.0,NO.803 DONGWON,HLLS,440646e3,8610631.0,Longline,53.3,383.0,894.84,25.0
19067.0,MIE MARU NO.3,NA,NA,NA,Longline,16.86,19.0,117.6798,7.413793103448276
19133.0,NO.509 NAMGUNG,HLWP,440777e3,8619261.0,Longline,49.91,408.0,894.84,25.0
19141.0,NO.808 DONGWON,HLWQ,440624e3,8619273.0,Longline,52.11,408.0,894.84,25.0
19158.0,TOSHIMA MARU NO.21,NA,431680680.0,NA,Longline,18.26,19.0,139.7447625,8.0
19281.0,ALPINE PINK,DUA6144,NA,7111858.0,Single Purse Seine,58.8,815.35,2684.52,23.0
19299.0,KAIO MARU,NA,NA,NA,Longline,14.97,19.0,119.31200000000001,8.0
19380.0,AMARYLLIS,DVDZ,NA,6811994.0,Single Purse Seine,68.01,936.69,1789.68,26.0
19414.0,FU KUAN 606,BEEQ,416894e3,8749212.0,Single Purse Seine,64.7,995.02,2237.1,30.0
19653.0,EAGLE,ZMAE,512e3,6717801.0,Single Purse Seine,61.0,1355.0,2289.299,19.0
19794.0,HOSHIN MARU NO.58,JHYV,432271e3,8708218.0,Longline,54.01,577.0,698.0,23.0
20057.0,NO.711 ORYONG,DTFS,440705e3,8709107.0,Longline,56.07,414.0,894.84,25.0
20099.0,MARAWA II,T3NG2,529729e3,5771701.0,Single Purse Seine,68.1,1565.0,2684.52,25.0
20107.0,PACIFIC BREEZE,WDE4890,367359220.0,7395624.0,Single Purse Seine,62.08,1091.0,2143.8875000000003,25.0
20222.0,FUKUICHI MARU NO.85,JHPT,43167e4,8717087.0,Single Purse Seine,62.96,1094.0,1912.0,22.0
21337.0,NO.311 ORYONG,DTDX,440987e3,8714164.0,Longline,53.3,380.0,745.7,25.0
21543.0,NO.305 ORYONG,HLVJ,440656e3,8703878.0,Longline,53.3,384.0,745.7,25.0
21576.0,KIYO MARU NO.28,JMZW,431698e3,8803836.0,Pole and Line,56.27,385.0,1912.29675,28.0
22038.0,NO.315 ORYONG,DTDZ,440731e3,8714188.0,Longline,53.3,380.0,745.7,25.0
22061.0,SHIMA MARU NO.1,NA,NA,NA,Longline,16.88,19.0,139.7447625,8.0
22145.0,JIH YU 812,BEND,416327e3,8648030.0,Single Purse Seine,64.7,995.02,2206.49625,32.0
22483.0,MATAIKA,T3AA2,529435e3,7514842.0,Single Purse Seine,68.1,1106.04,2647.7954999999997,25.0
22566.0,HAI SHANG 98,BZ7UY,412371192.0,8814964.0,Longline,53.51,577.0,735.0,30.0
22764.0,JIN HUI NO.3,BIYA,413032e3,8647749.0,Single Purse Seine,64.7,995.0,2087.96,30.0
22772.0,QUEEN MARY,V6P88,NA,6921452.0,Single Purse Seine,46.02,509.33,1677.825,16.0
22780.0,TRINIDAD III,V6P89,NA,7005267.0,Single Purse Seine,46.02,509.27,1677.825,16.0
22798.0,SHOEI MARU NO.18,JJOS,431523e3,8815061.0,Pole and Line,61.68,463.0,1342.26,30.0
22814.0,JIH YU 212,BZKF,416611e3,8648004.0,Single Purse Seine,64.7,995.0,2206.49625,34.0
22889.0,MARIRAOI,T3AF2,52944e4,8003230.0,Single Purse Seine,68.1,1526.0,2684.52,25.0
22905.0,MARAWA I,T3LM2,529686e3,7806269.0,Single Purse Seine,67.48,1350.0,2684.52,24.0
22939.0,NO.201 DONGWON,DTFU,440584e3,8714126.0,Longline,51.669999999999995,410.0,894.84,25.0
22947.0,NO.202 DONGWON,DTFV,440623e3,8714138.0,Longline,56.07,410.0,894.84,25.0
22970.0,JOON DISCOVERER,T3LB2,529676e3,7641580.0,Single Purse Seine,68.09,1207.71,2684.52,25.0
23036.0,KAIEN MARU NO.23,NA,NA,NA,Longline,15.63,19.0,478.079999999999,10.0
23234.0,NO.718 ORYONG,DTAC6,440935e3,8815695.0,Longline,56.07,416.0,894.84,25.0
23366.0,ORYONG NO.712,6LHG,441072e3,8717788.0,Longline,56.07,416.0,894.84,25.0
23382.0,JIN HUI NO.1,BZVK,412926e3,8647725.0,Single Purse Seine,64.7,995.0,2087.96,30.0
23416.0,YU WEN 101,BZJM,NA,8748567.0,Single Purse Seine,64.76,995.0,2237.1,40.0
23606.0,NO.211 DONGWON,6LCW,440782e3,8821541.0,Longline,49.91,408.0,894.84,25.0
24109.0,VANILLA,DUUP,NA,6613469.0,Fish Carrier,73.6,1203.4,1118.55,20.0
24166.0,HAYABUSA MARU NO.2,JMTH,432114e3,8822064.0,Single Purse Seine,62.88,1096.0,2206.0,26.0
24174.0,KAIEN MARU NO.33,NA,NA,NA,Longline,16.12,19.0,139.7447625,10.0
24182.0,CHING FENG 767,BZKO,416017500.0,8628547.0,Single Purse Seine,66.23,996.0,2237.1,28.0
24265.0,CHOKYU MARU NO.2,7KLG,431602240.0,8809086.0,Longline,43.31,199.0,338.329425,20.0
24414.0,TAI LONG 1,BZYC7,412328731.0,874660.0,Single Purse Seine,64.7,1203.0,2237.1,35.0
24463.0,NO.3 TONINA,6NKJ,440648e3,8821565.0,Longline,52.11,408.0,894.84,25.0
24588.0,HSIEH FENG 701,BI2377,416512e3,8748517.0,Single Purse Seine,64.7,995.0,2237.1,25.0
24646.0,WAKABA MARU NO.3,JNBA,431686e3,8915134.0,Single Purse Seine,63.24,1096.0,2206.0,25.0
24802.0,KAIHO MARU,JESS,NA,NA,Longline,50.03,538.0,735.49875,25.0
24869.0,LU QING YUAN YU 016,BZSJ9,412328714.0,8809282.0,Longline,54.56,653.0,NA,NA
24893.0,WESTERN KIM,6MOW,440644e3,8003242.0,Single Purse Seine,68.17,1201.65,2684.52,22.0
24968.0,OCEAN MASTER,6MOU,440823e3,8812227.0,Single Purse Seine,78.33,1349.2,2982.8,22.0
25007.0,SHILLA EXPLORER,6MPH,NA,8812203.0,Single Purse Seine,78.33,1349.2,2982.8,25.0
25023.0,SHILLA PIONEER,6MSQ,440542e3,8813477.0,Single Purse Seine,78.33,1349.2,2982.8,25.0
25122.0,SILVER QUEEN,DUA6088,NA,8327715.0,Single Purse Seine,34.0,960.86,2002.2045,23.0
25239.0,HOMARE MARU NO.29,JETJ,431500460.0,8921212.0,Longline,54.74,379.0,1441.57755,20.0
25320.0,NO.312 ORYONG,DTDY,440941e3,8714176.0,Longline,53.3,380.0,745.7,25.0
25353.0,SUNFLOWER 888,DUA2440,NA,8810035.0,Single Purse Seine,NA,NA,NA,NA
25429.0,TAI LONG 2,BZYC8,412328729.0,8748555.0,Single Purse Seine,66.2,1280.0,2206.49625,35.0
25437.0,BAE FU 103,BZNF,NA,8748490.0,Single Purse Seine,64.7,995.0,2237.1,40.0
25502.0,NO.717 ORYONG,DTAF2,440807e3,8815683.0,Longline,56.07,416.0,894.84,25.0
25601.0,NO.617 DONG WON,HLJF,440636e3,8714023.0,Longline,56.07,414.0,882.5985,25.0
25767.0,TOMI MARU NO.63,JRXI,431503e3,8921406.0,Single Purse Seine,63.24,1094.0,1985.0,24.0
25874.0,SAN NANUMEA,ZMSN,512000089.0,8102866.0,Single Purse Seine,77.16,1678.0,2684.52,NA
25908.0,CARIBE,DTBQ7,440233e3,8102854.0,Single Purse Seine,76.64,733.0,2684.52,22.0
25924.0,YAP SEAGULL,V6YD40,NA,7366726.0,Single Purse Seine,59.34,972.77,2684.52,19.0
25957.0,CAPE ELIZABETH III,WDF8203,303343e3,9018892.0,Single Purse Seine,67.3,1930.0,3299.7225000000003,25.0
26047.0,NO.303 ORYONG,HLHJ,440654e3,8610643.0,Longline,53.3,384.0,745.7,25.0
26161.0,SAN NIKUNAU,ZMNK,512085e3,8131441.0,Single Purse Seine,79.69,1957.0,2982.8,20.0
26195.0,SHUN TIEN NO.606,BZMX,416001500.0,8748531.0,Single Purse Seine,66.4,995.0,2237.1,35.0
26203.0,CHING FENG 787,BZNC,416574e3,8628535.0,Single Purse Seine,69.26,1091.0,2237.1,28.0
26344.0,DONG WON NO.620,6LCI,440952e3,8821498.0,Longline,56.07,417.0,882.5985,25.0
26369.0,XIN SHI JI 101,BZ4UB,NA,8748775.0,Single Purse Seine,65.7,996.0,2205.0,33.0
26377.0,SHILLA CHALLENGER,6MET,440492e3,8813489.0,Single Purse Seine,71.2429411764706,1349.2,2982.8,25.0
26401.0,NO.306 ORYONG,HLVW,440733e3,8703880.0,Longline,53.3,384.0,745.7,25.0
26575.0,FUKUICHI MARU NO.112,JITS,431671e3,9009736.0,Single Purse Seine,63.51,1093.0,1912.0,24.0
26732.0,GABRIELLE LT,4DFC5,416549e3,8748672.0,Single Purse Seine,69.25,1081.0,2237.1,35.0
26757.0,FU KUAN 707,BZNQ,416001800.0,8749224.0,Single Purse Seine,69.26,1091.0,2237.1,30.0
26765.0,XIN SHI JI NO.102,BZ5UB,NA,8748787.0,Single Purse Seine,65.7,996.0,2205.0,33.0
26773.0,BAE FU 301,BL2052,NA,8748505.0,Single Purse Seine,69.25,1089.0,2237.1,40.0
26880.0,GENPUKU MARU NO.18,JNQX,431812e3,9009748.0,Single Purse Seine,63.51,1092.0,1985.0,25.0
26898.0,SEIPAL,V6P1164,NA,9016545.0,Single Purse Seine,63.24,1096.0,1985.0313564814815,21.0
27029.0,HOSHIN MARU NO.62,JJCT,43227e4,9011351.0,Longline,56.17,409.0,698.0,23.0
27037.0,SHOUN MARU NO.51,JRMX,432008e3,9011325.0,Longline,49.75,319.0,1618.09725,21.0
27219.0,KAISEI MARU NO.7,JFCV,431500530.0,9033141.0,Longline,55.16,379.0,735.0,22.0
27268.0,SHOYU MARU NO.18,JIUP,431187e3,9020182.0,Single Purse Seine,63.89,1094.0,1985.0,23.0
27318.0,ZHONG TAI NO.1,BZZW4,413034e3,8995457.0,Single Purse Seine,66.23,1087.0,2205.0,30.0
27342.0,ZINNIA 5,DUA2427,NA,7434274.0,Bunker,54.0,497.55,969.429999999999,11.0
27359.0,WIN FAR NO.626,BEAB,4165e5,8747240.0,Single Purse Seine,65.7,1098.0,2237.1,30.0
27433.0,TOKIWA MARU NO.18,JJHJ,43131e4,9031923.0,Single Purse Seine,63.24,1096.0,1985.0,24.0
27441.0,HSIEH FENG 707,BL2051,416506e3,8748529.0,Single Purse Seine,65.5,1098.0,2206.49625,32.0
27680.0,YU WEN 301,BEBG,NA,8748579.0,Single Purse Seine,69.26,1080.0,2237.1,40.0
27714.0,TOBIAS MIGUEL,4DFC7,NA,8748658.0,Single Purse Seine,69.26,1092.0,2237.1,35.0
27730.0,TA CHING 666,BEBF,416836e3,8628559.0,Single Purse Seine,66.23,1052.0,2237.1,28.0
27888.0,WIN FAR NO.636,BL2039,416898e3,8747252.0,Single Purse Seine,65.7,1098.0,2237.1,30.0
27896.0,WIN UNI,T3MY,52912e4,7302299.0,Fish Carrier,104.3,2910.0,3356.5178571428573,26.785714285714285
28001.0,SEIFUKU MARU NO.68,JRQF,43226e4,9036765.0,Longline,56.43,379.0,1434.2225624999999,23.0
28217.0,FONG SEONG 767,BEBC,NA,9035242.0,Single Purse Seine,86.11,1895.0,2982.8,30.0
28365.0,KOYO MARU NO.78,7JJY,431308e3,9033282.0,Single Purse Seine,63.51,1094.0,1912.0,24.0
28373.0,KOYO MARU NO.15,JRUV,431817e3,9020807.0,Single Purse Seine,63.24,1096.0,1985.0,24.0
28381.0,TENOH MARU NO.7,7JOM,431501404.0,9036727.0,Single Purse Seine,63.51,1093.0,1949.0,22.0
28399.0,TAIKEI MARU NO.1,JRTG,431796e3,9037953.0,Single Purse Seine,64.21,1117.7142857142858,1912.0,23.0
28407.0,JIN LIAO YU 57,BAWB,431652e3,9038153.0,Single Purse Seine,63.16285714285714,1095.0,1985.3214285714287,NA
28571.0,SEIRYO MARU NO.12,JQGF,431702020.0,9041710.0,Longline,56.43,379.0,698.7238125,22.0
28589.0,FONG SEONG 779,BEBT,NA,9035254.0,Single Purse Seine,77.57,1735.0,2984.0,30.0
28613.0,JIN HUI NO.6,BIWX,413224e3,8924381.0,Single Purse Seine,70.26,1198.0,2237.1,28.0
29678.0,NIKKO MARU NO.31,JJCP,431509e3,9053567.0,Pole and Line,66.36,499.0,1470.0,30.0
29686.0,HINODE MARU NO.18,JJAI,431147e3,9033294.0,Pole and Line,57.15,359.0,735.49875,24.0
29694.0,TOAMOANA NO.8,E5U2623,518676e3,8664424.0,Longline,22.0,70.0,367.0,10.0
29801.0,XIN RUI,T3HC2,529605e3,9065534.0,Fish Carrier,97.4,2839.0,1709.1444000000001,23.0
29984.0,KYOSHIN MARU NO.8,NA,NA,NA,Longline,14.95,19.82,139.7447625,8.0
30049.0,YUSEI MARU NO.8,NA,NA,NA,Longline,14.99,19.98,139.7447625,8.0
30056.0,VANDA 888,DYDH,NA,7322471.0,Fish Carrier,100.13,2219.0,3355.65,NA
30106.0,WAKABA MARU NO.6,JFRJ,431696e3,9062635.0,Single Purse Seine,63.24,1096.0,1912.0,24.0
30759.0,JASMIN 88,DUAY5,NA,7232834.0,Single Purse Seine,70.81,1433.63,2759.13,22.0
30775.0,SEISHU MARU NO.7,JIKD,431159e3,9066306.0,Single Purse Seine,63.51,1093.0,2794.0,24.0
30809.0,FUKUTOKU MARU NO. 37,JQPE,431700060.0,9066904.0,Longline,56.17,379.0,745.7,23.0
30890.0,FUKUYO MARU NO.68,JQNK,431700030.0,9053476.0,Longline,56.17,379.0,735.0,22.0
31013.0,SHINKO MARU NO.78,JM6181,NA,NA,Longline,31.15,89.0,507.0,12.0
31591.0,VIVA 106,3EGN7,352533e3,8122385.0,Fish Carrier,99.02,3574.0,3971.69325,25.0
31617.0,DOLORES 849,4DEF6,548347100.0,8602311.0,Single Purse Seine,57.19,632.0,1879.0,35.0
31625.0,DOLORES 839,4DEF7,548348100.0,8602323.0,Single Purse Seine,57.19,632.0,1879.0,34.241379310344826
32022.0,SEIWA,T3VQ,NA,9021277.0,Fish Carrier,94.0,2616.3571428571427,2427.1458749999997,22.51851851851852
32043.0,YOKO MARU NO.35,NA,NA,NA,Longline,15.65,19.0,117.6798,8.0
32078.0,MONTEROCIO,YSC2002,359002e3,8919453.0,Single Purse Seine,78.8,2109.0,NA,29.0
32079.0,LAKE HILL,T3LP,529087e3,8028955.0,Fish Carrier,99.02,3363.0,4026.78,18.0
32080.0,DAIKI MARU NO.8,JL6176,NA,NA,Longline,28.3,66.0,228.0046125,10.0
32114.0,FUKUJU MARU NO.8,NA,NA,NA,NA,NA,NA,NA,NA
32118.0,SEIRYO MARU NO.8,JHBC,431702950.0,8509894.0,Longline,NA,NA,NA,NA
32161.0,NO.53 SHIN YUNG,6MWO,440628e3,8815712.0,Longline,55.2,424.0,894.84,25.0
32165.0,NO.101 SOJIN,HLLW,440801e3,8716057.0,Longline,53.3,378.0,894.84,25.0
32166.0,SHEN GANG FA NO.1,BZXD4,442460001.0,8628523.0,Longline,53.3,576.0,882.0,25.51851851851852
32168.0,NO.316 ORYONG,6MBQ,440986e3,9042037.0,Longline,53.3,380.0,745.7,25.0
32188.0,ORYONG NO.733,6NSK,440931e3,9041112.0,Longline,56.07,416.0,894.84,25.0
32189.0,NO.707 ORYONG,HLWH,440792e3,8619364.0,Longline,56.07,414.0,894.84,25.0
32190.0,NO.725 ORYONG,DTAC8,440886e3,9041100.0,Longline,56.07,421.0,894.84,25.0
32192.0,NO.723 ORYONG,DTAB8,440885e3,9019315.0,Longline,56.07,446.0,894.84,25.0
32198.0,NO.207 DONGWON,HLBR,440765e3,8619247.0,Longline,56.07,380.0,894.84,25.0
32209.0,PANALOX 701,DTAB7,44125100.0,9005297.0,Longline,55.09,442.0,894.84,25.0
32216.0,NO.317 ORYONG,6MBV,440045e3,9042049.0,Longline,53.3,380.0,745.7,25.0
32218.0,NO.55 CHUNGYONG,6LJR,440946e3,8714059.0,Longline,56.07,416.0,894.84,25.0
32226.0,NO.83 AGNES,6LIW,441043e3,9012331.0,Longline,56.07,417.0,894.84,25.0
32227.0,NO.82 AGNES,6LWJ,440772e3,8714061.0,Longline,56.07,410.0,894.84,25.0
32236.0,NO.90 AGNES,6LZM,44077e4,9042025.0,Longline,56.38,414.0,894.84,25.0
32239.0,PANALOX 503,DTAU4,440517e3,8916372.0,Longline,55.14,427.0,894.84,25.0
32240.0,PANALOX 502,DTAV2,440617e3,8916360.0,Longline,55.09,427.0,894.84,25.0
32241.0,PANALOX 501,DTAU9,440595e3,8916358.0,Longline,55.16,427.0,894.84,25.0
32242.0,NO.56 SHIN YUNG,HLWA,440504e3,8619326.0,Longline,53.3,384.0,745.7,24.0
32243.0,NO.52 SHIN YUNG,6NJJ,440612e3,8717984.0,Longline,53.5,401.0,894.84,25.0
32244.0,NO.51 SHIN YUNG,6LGQ,440604e3,8714231.0,Longline,53.5,401.0,894.84,25.0
32246.0,NO.27 INSUNG,6LHL,440298e3,8827741.0,Longline,56.7,414.0,894.84,25.0
32247.0,NO.38 HANSUNG,HLJB,44059e4,8717843.0,Longline,53.3,385.0,745.7,25.0
32248.0,NO.39 HANSUNG,6NET,440239e3,9046409.0,Longline,53.3,385.0,745.7,25.0
32254.0,OYANG NO.105,6LJG,4419e4,8805298.0,Longline,56.07,411.0,894.84,25.0
32263.0,MATSUICHI MARU NO.8,NA,NA,NA,Longline,16.95,19.76,117.6798,8.0
32264.0,TAIKO MARU,NA,NA,NA,Longline,16.549756097560977,19.0,117.6798,8.0
32311.0,YUNG DA FA 102,3FEJ5,355141e3,8323599.0,Fish Carrier,93.88,2829.0,2438.17835625,19.0
32411.0,KOSHIN MARU NO.7,JLVW,431702990.0,9073397.0,Longline,56.7,435.0,735.49875,25.0
32413.0,GLORY NO.1,YJTG2,577145e3,8717013.0,Longline,53.61,617.0,745.7,25.0
32439.0,SEAQUENCE,3DTH,520187e3,NA,Longline,26.8,108.0,331.0,13.0
32444.0,SEIHOU MARU NO.8,NA,NA,NA,Longline,19.0,19.98,139.7447625,8.0
32445.0,HOEI MARU,JRTL,431700150.0,9083653.0,Pole and Line,65.46,499.0,1470.9975,33.0
32500.0,EISEI MARU NO.8,JEED,431617e3,9087790.0,Pole and Line,65.36,499.0,1470.9975,30.0
32501.0,CHUNG KUO NO.868,YJTR7,577225e3,8668755.0,Longline,25.10344827586207,96.69666666666667,596.5600000000001,15.0
32502.0,TAI NING,BBQR,412322280.0,8217116.0,Fish Carrier,92.23,3260.0,3310.0,23.0
32520.0,HAI SHANG 88,BZ6UY,412371191.0,9087788.0,Longline,56.17,577.0,735.0,30.0
32590.0,MATHAWMARFACH,V6YM,NA,NA,Single Purse Seine,65.0,1555.0,2952.972,19.0
32616.0,YUE YUAN YU 169,BZXL6,412696020.0,NA,Longline,31.0,125.0,318.0,10.0
32617.0,YUE YUAN YU NO.168,BZXL5,NA,NA,Longline,25.68,125.0,318.0,10.0
32712.0,JIN CHING FA NO.7,BK6248,416003113.0,NA,Longline,19.4,42.57,462.334,9.0
32713.0,TIEN FA TSAI NO.26,BK6979,416000737.0,NA,Longline,21.29,49.62,406.4065,NA
32754.0,FUH AN NO.13,BK7186,416000806.0,NA,Longline,21.7,48.84,447.42,9.0
32774.0,JIN HUI NO.7,BIWT,413278e3,8125090.0,Single Purse Seine,79.77,1769.0,2686.0,30.0
32793.0,SHINSEI MARU NO.21,JL6262,NA,NA,Longline,29.8,79.0,279.489525,10.0
32796.0,FRIO POSEIDON,3EHL5,371812e3,8807662.0,Fish Carrier,140.44,9072.0,5117.7391,23.0
32805.0,CAPT. VINCENT GANN,WDG2517,303137e3,9018880.0,Single Purse Seine,76.5,1930.0,3299.7225000000003,25.0
32818.0,TAKASHIRO MARU NO.38,NA,431501186.0,NA,Longline,17.58,19.0,88.25985,8.0
32819.0,WAKAMIYA MARU NO.21,NA,NA,NA,Longline,17.61,19.0,88.25985,8.0
32821.0,HOTOKU MARU,NA,NA,NA,Longline,16.98,19.94,139.7447625,8.0
32826.0,MANEI MARU NO.38,NA,NA,NA,Longline,16.93,19.0,117.6798,6.0
32848.0,KINEI MARU NO.35,JMSU,432057e3,9037551.0,Longline,55.16,409.0,735.49875,25.0
32857.0,FUKU MARU NO.3,NA,NA,NA,Longline,14.95,19.94,139.7447625,8.0
32860.0,KATSU MARU NO.28,NA,NA,NA,Longline,14.926896551724138,19.884333333333334,139.7447625,9.0
32861.0,KINSEI MARU NO.3,NA,NA,NA,Longline,14.99,19.0,117.6798,8.0
32865.0,NORI MARU,NA,NA,NA,NA,NA,NA,NA,NA
32866.0,HATSUEI MARU NO.6,NA,NA,NA,Longline,17.61,19.0,117.6798,8.0
32868.0,SANWA FONTAINE,3FMK4,353937e3,8204121.0,Fish Carrier,92.21,3260.0,3309.7443749999998,23.0
32902.0,RYUSEI MARU NO.8,NA,431680360.0,NA,Longline,19.0,19.93,139.7447625,10.0
32904.0,NANKAI MARU NO.18,NA,NA,NA,Longline,19.0,19.94,139.7447625,8.0
32906.0,NO.325 ORYONG,6MNZ,440055e3,9019509.0,Longline,53.52,389.0,894.84,25.0
32915.0,NO.721 ORYONG,DTAH8,440703e3,8815700.0,Longline,56.07,416.0,894.84,25.0
32920.0,NO.205 DONGWON,DTDV,440788e3,8428296.0,Longline,56.07,397.0,894.84,25.0
32923.0,NO.307 ORYONG,HLBX,440846e3,8703892.0,Longline,53.3,384.0,745.7,25.0
32924.0,NO.722 ORYONG,DTAG3,440936e3,8829543.0,Longline,56.07,416.0,894.84,25.0
32925.0,NO.715 ORYONG,DTAD8,440704e3,8717867.0,Longline,56.07,416.0,894.84,25.0
32926.0,ATUN TRES,DTAC5,440992e3,8821553.0,Longline,51.917142857142856,408.0,894.84,25.0
32928.0,TAI FU NO.1,T3LY,529096e3,7908976.0,Fish Carrier,137.0,6049.0,5883.99,25.0
32929.0,WIN FAR NO.606,BEDT,416899e3,8747238.0,Single Purse Seine,70.26,1124.0,2386.2400000000002,30.0
